C:\Users\USER\anaconda3\envs\rl_3.9\python.exe C:\Users\USER\anaconda3\envs\rl_3.9\Project#2\pong_ppo.py 
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 0, Total Reward: -21.00
Episode 10, Total Reward: -20.00
Episode 20, Total Reward: -20.00
Episode 30, Total Reward: -20.00
Episode 40, Total Reward: -20.00
Episode 50, Total Reward: -21.00
Episode 60, Total Reward: -21.00
Episode 70, Total Reward: -20.00
Episode 80, Total Reward: -20.00
Episode 90, Total Reward: -21.00
Episode 100, Total Reward: -21.00
Episode 110, Total Reward: -21.00
Episode 120, Total Reward: -21.00
Episode 130, Total Reward: -21.00
Episode 140, Total Reward: -21.00
Episode 150, Total Reward: -20.00
Episode 160, Total Reward: -20.00
Episode 170, Total Reward: -20.00
Episode 180, Total Reward: -21.00
Episode 190, Total Reward: -21.00
Episode 200, Total Reward: -21.00
Episode 210, Total Reward: -21.00
Episode 220, Total Reward: -20.00
Episode 230, Total Reward: -20.00
Episode 240, Total Reward: -17.00
Episode 250, Total Reward: -20.00
Episode 260, Total Reward: -21.00
Episode 270, Total Reward: -19.00
Episode 280, Total Reward: -21.00
Episode 290, Total Reward: -20.00
Episode 300, Total Reward: -20.00
Episode 310, Total Reward: -20.00
Episode 320, Total Reward: -20.00
Episode 330, Total Reward: -20.00
Episode 340, Total Reward: -19.00
Episode 350, Total Reward: -21.00
Episode 360, Total Reward: -21.00
Episode 370, Total Reward: -19.00
Episode 380, Total Reward: -20.00
Episode 390, Total Reward: -19.00
Episode 400, Total Reward: -21.00
Episode 410, Total Reward: -19.00
Episode 420, Total Reward: -17.00
Episode 430, Total Reward: -19.00
Episode 440, Total Reward: -19.00
Episode 450, Total Reward: -18.00
Episode 460, Total Reward: -19.00
Episode 470, Total Reward: -16.00
Episode 480, Total Reward: -16.00
Episode 490, Total Reward: -15.00
Episode 500, Total Reward: -19.00
Episode 510, Total Reward: -15.00
Episode 520, Total Reward: -18.00
Episode 530, Total Reward: -20.00
Episode 540, Total Reward: -15.00
Episode 550, Total Reward: -17.00
Episode 560, Total Reward: -16.00
Episode 570, Total Reward: -7.00
Episode 580, Total Reward: -16.00
Episode 590, Total Reward: -18.00
Episode 600, Total Reward: -10.00
Episode 610, Total Reward: -15.00
Episode 620, Total Reward: -16.00
Episode 630, Total Reward: -15.00
Episode 640, Total Reward: -14.00
Episode 650, Total Reward: -12.00
Episode 660, Total Reward: -14.00
Episode 670, Total Reward: -12.00
Episode 680, Total Reward: -14.00
Episode 690, Total Reward: -17.00
Episode 700, Total Reward: -14.00
Episode 710, Total Reward: -11.00
Episode 720, Total Reward: -10.00
Episode 730, Total Reward: -15.00
Episode 740, Total Reward: -5.00
Episode 750, Total Reward: -13.00
Episode 760, Total Reward: -14.00
Episode 770, Total Reward: -12.00
Episode 780, Total Reward: -16.00
Episode 790, Total Reward: -15.00
Episode 800, Total Reward: -11.00
Episode 810, Total Reward: -15.00
Episode 820, Total Reward: -12.00
Episode 830, Total Reward: -11.00
Episode 840, Total Reward: -9.00
Episode 850, Total Reward: -10.00
Episode 860, Total Reward: -10.00
Episode 870, Total Reward: -3.00
Episode 880, Total Reward: -12.00
Episode 890, Total Reward: -13.00
Episode 900, Total Reward: -6.00
Episode 910, Total Reward: -11.00
Episode 920, Total Reward: -4.00
Episode 930, Total Reward: -9.00
Episode 940, Total Reward: -5.00
Episode 950, Total Reward: -13.00
Episode 960, Total Reward: -15.00
Episode 970, Total Reward: -6.00
Episode 980, Total Reward: -4.00
Episode 990, Total Reward: -6.00
Episode 1000, Total Reward: -2.00
Episode 1010, Total Reward: -5.00
Episode 1020, Total Reward: -15.00
Episode 1030, Total Reward: -2.00
Episode 1040, Total Reward: -3.00
Episode 1050, Total Reward: -2.00
Episode 1060, Total Reward: -6.00
